filename,source_project,source_title,source_url,author,license,license_url,notes
mandarin_ipa_m_voiceless.mp3,Wikimedia Commons IPA chart audio,File:Voiceless Bilabial Nasal.ogg for [m̥],https://commons.wikimedia.org/wiki/File:Voiceless_Bilabial_Nasal.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Voiceless_Bilabial_Nasal.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_n.mp3,Wikimedia Commons IPA chart audio,File:Alveolar nasal.ogg for [n],https://commons.wikimedia.org/wiki/File:Alveolar_nasal.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Alveolar_nasal.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_n_palatalized.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable ni1.mp3 for [nʲ],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. Mandarin n before high front vowel"
mandarin_ipa_o_lowered.mp3,Wikimedia Commons IPA chart audio,File:Mid back rounded vowel.ogg for [o̞],https://commons.wikimedia.org/wiki/File:Mid_back_rounded_vowel.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Mid_back_rounded_vowel.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_o_lowered_rhotic.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable er2.mp3 for [o̞˞],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. nearest rhotic syllable demo"
mandarin_ipa_oe_less_rounded.mp3,Wikimedia Commons IPA chart audio,File:Open-mid front rounded vowel (2).ogg for [œ̜],https://commons.wikimedia.org/wiki/File:Open-mid_front_rounded_vowel_(2).ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Open-mid_front_rounded_vowel_(2).ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_ou.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable ou1.mp3 for [ou̯],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio."
mandarin_ipa_ou_rhotic.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable ou1.mp3 for [ou̯˞],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. base ou syllable demo; not erhua"
mandarin_ipa_p.mp3,Wikimedia Commons IPA chart audio,File:Voiceless bilabial plosive.ogg for [p],https://commons.wikimedia.org/wiki/File:Voiceless_bilabial_plosive.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Voiceless_bilabial_plosive.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_p_aspirated.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable pa1.mp3 for [pʰ],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. aspirated Mandarin p in pa1"
